,model,prompt_method,prompt_short,sample_size,target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
42,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.27,30.0,2.27,3.3,6.12e+20,75500000000000.0,4.0
43,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.261,30.0,2.37,3.3,6.39e+20,78820000000000.0,4.4
44,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.661,279.0,1.57,3.3,4.57e+19,5640000000000.0,5.0
45,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,30.0,2.34,3.3,6.33e+20,78030000000000.0,4.5
46,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.677,279.0,2.36,3.3,6.84e+19,8440000000000.0,4.5
47,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.641,187.0,2.43,3.3,1.05e+20,13000000000000.0,6.2
48,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,30.0,2.43,3.3,6.56e+20,80960000000000.0,4.9
49,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,5.0,1500.0,270.0,60.0,4.42e+18,180000000000000.0,16.0
50,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
51,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,30.0,2.41,3.3,6.51e+20,80300000000000.0,6.2
52,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,279.0,1.58,3.3,4.59e+19,5670000000000.0,4.0
53,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.33,3.3,6.3e+20,77700000000000.0,4.8
54,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,90.5,2.22,3.41e+21,190600000000000.0,41.5
55,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,30.0,2.35,3.3,6.35e+20,78300000000000.0,4.8
56,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,187.0,2.37,3.3,1.03e+20,12700000000000.0,6.8
57,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.54,30.0,2.34,3.3,6.32e+20,77900000000000.0,4.0
58,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.981,279.0,2.36,3.3,6.86e+19,8460000000000.0,6.2
59,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.279,30.0,2.26,3.3,6.1e+20,75200000000000.0,4.0
60,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,10.0,500.0,126.7,3.34,2.01e+21,253500000000000.0,29.8
61,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,30.0,2.34,3.3,6.33e+20,78000000000000.0,4.5
62,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.641,187.0,2.43,3.3,1.05e+20,13000000000000.0,8.0
63,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,80.0,2.45,3.3,2.48e+20,30600000000000.0,4.8
64,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.264,30.0,2.31,3.3,6.25e+20,77100000000000.0,3.8
65,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,1.1,500.0,28.5,2.45,8.4e+20,57000000000000.0,29.7
66,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.633,279.0,1.6,3.3,4.66e+19,5750000000000.0,4.3
67,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.443,30.0,2.37,3.3,6.42e+20,79100000000000.0,6.2
68,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.654,463.0,2.39,3.3,4.19e+19,5160000000000.0,5.5
69,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.595,30.0,2.36,3.3,6.37e+20,78600000000000.0,6.2
70,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.261,30.0,2.31,3.3,6.25e+20,77100000000000.0,6.0
71,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.538,30.0,2.37,3.3,6.4e+20,78900000000000.0,4.0
72,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.257,30.0,2.31,3.3,6.25e+20,77000000000000.0,4.0
73,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.905,279.0,2.36,3.3,6.87e+19,8470000000000.0,4.8
74,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,5.0,1500.0,270.0,60.0,4.42e+18,180000000000000.0,16.0
75,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.583,30.0,2.378,3.3,6.427e+20,79260000000000.0,5.8
76,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.721,187.0,2.401,3.3,1.041e+20,12840000000000.0,6.5
77,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.492,279.0,1.592,3.3,4.626e+19,5706000000000.0,4.2
78,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.876,30.0,2.435,3.3,6.581e+20,81170000000000.0,7.1
79,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.388,463.0,2.412,3.3,4.224e+19,5209000000000.0,4.7
80,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.657,30.0,2.392,3.3,6.465e+20,79730000000000.0,6.0
81,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.275,30.0,2.319,3.3,6.268e+20,77300000000000.0,4.3
82,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,1.023,279.0,2.351,3.3,6.832e+19,8426000000000.0,5.7
83,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.531,80.0,2.437,3.3,2.47e+20,30460000000000.0,5.2
84,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.789,30.0,2.417,3.3,6.532e+20,80560000000000.0,6.4
85,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,105.234,2.413,3.372e+21,221500000000000.0,39.8
86,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.612,30.0,2.382,3.3,6.438e+20,79400000000000.0,5.9
87,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.443,279.0,1.576,3.3,4.579e+19,5646000000000.0,4.1
88,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.935,187.0,2.372,3.3,1.029e+20,12690000000000.0,6.7
89,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.298,30.0,2.331,3.3,6.301e+20,77700000000000.0,4.6
90,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.708,30.0,2.405,3.3,6.501e+20,80170000000000.0,6.3
91,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.569,463.0,2.421,3.3,4.239e+19,5228000000000.0,5.0
92,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.817,30.0,2.428,3.3,6.562e+20,80930000000000.0,6.9
93,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.401,30.0,2.359,3.3,6.377e+20,78640000000000.0,4.9
94,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.684,279.0,1.588,3.3,4.615e+19,5692000000000.0,4.7
95,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.543,30.0,2.387,3.3,6.452e+20,79570000000000.0,5.3
96,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.976,187.0,2.362,3.3,1.024e+20,12630000000000.0,6.6
97,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.329,30.0,2.342,3.3,6.33e+20,78070000000000.0,4.7
98,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.751,30.0,2.411,3.3,6.516e+20,80370000000000.0,6.5
99,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,5.2,500.0,143.892,2.789,3.462e+21,287800000000000.0,43.2
100,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
101,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,30.0,2.41,3.3,6.51e+20,80330000000000.0,6.2
102,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,279.0,1.55,3.3,4.5e+19,5550000000000.0,4.0
103,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.301,30.0,2.33,3.3,6.3e+20,77700000000000.0,4.8
104,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,187.0,2.37,3.3,1.03e+20,12680000000000.0,6.2
105,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.0
106,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,80.0,2.39,3.3,2.42e+20,29870000000000.0,5.5
107,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.641,279.0,1.6,3.3,4.65e+19,5730000000000.0,4.3
108,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,30.0,2.36,3.3,6.38e+20,78670000000000.0,4.9
109,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,30.0,2.4,3.3,6.49e+20,80000000000000.0,6.8
110,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,1.0,475.0,10.0,3.3,1.21e+21,21050000000000.0,11.7
111,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,90.0,2.2,3.4e+21,189500000000000.0,41.0
112,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.443,30.0,2.35,3.3,6.35e+20,78330000000000.0,4.8
113,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.654,279.0,1.58,3.3,4.59e+19,5660000000000.0,4.0
114,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.595,80.0,2.45,3.3,2.48e+20,30620000000000.0,5.5
115,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.538,30.0,2.37,3.3,6.4e+20,79000000000000.0,4.8
116,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.905,279.0,2.36,3.3,6.86e+19,8450000000000.0,6.2
117,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.587,187.0,2.37,3.3,1.03e+20,12680000000000.0,4.8
118,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.617,30.0,2.38,3.3,6.43e+20,79330000000000.0,6.2
119,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.345,30.0,2.32,3.3,6.27e+20,77330000000000.0,4.0
120,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.603,463.0,2.39,3.3,4.19e+19,5160000000000.0,5.5
121,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.573,30.0,2.36,3.3,6.38e+20,78670000000000.0,4.8
122,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.643,279.0,1.57,3.3,4.56e+19,5620000000000.0,4.3
123,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.58,463.0,2.4,3.3,4.2e+19,5180000000000.0,4.8
124,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polystyrene,0.5,500.0,120.0,4.0,1.2e+21,240000000000000.0,60.0
125,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.583,30.0,2.398,3.3,6.481e+20,79940000000000.0,5.8
126,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.721,279.0,1.588,3.3,4.615e+19,5693000000000.0,4.7
127,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.623,2.315,3.218e+21,201300000000000.0,38.2
128,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.492,80.0,2.411,3.3,2.443e+20,30140000000000.0,5.2
129,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.298,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.6
130,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.875,187.0,2.389,3.3,1.036e+20,12780000000000.0,6.5
131,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.657,30.0,2.425,3.3,6.554e+20,80830000000000.0,6.4
132,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.413,463.0,2.412,3.3,4.224e+19,5210000000000.0,4.6
133,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,30.0,2.436,3.3,6.584e+20,81200000000000.0,6.7
134,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,5.5,500.0,142.891,2.889,3.379e+21,285800000000000.0,35.6
135,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.531,279.0,1.575,3.3,4.577e+19,5645000000000.0,4.2
136,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.689,30.0,2.401,3.3,6.489e+20,80030000000000.0,6.1
137,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.322,30.0,2.319,3.3,6.268e+20,77300000000000.0,4.4
138,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.935,142.0,2.372,3.3,1.355e+20,16710000000000.0,5.8
139,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.478,80.0,2.389,3.3,2.421e+20,29860000000000.0,4.9
140,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,4.2,1200.0,210.0,45.0,6.912e+18,175000000000000.0,14.5
141,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.612,30.0,2.387,3.3,6.451e+20,79560000000000.0,5.9
142,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.788,279.0,2.344,3.3,6.812e+19,8401000000000.0,5.7
143,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.395,463.0,2.423,3.3,4.243e+19,5233000000000.0,4.7
144,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.672,30.0,2.417,3.3,6.532e+20,80560000000000.0,6.3
145,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,2.9,475.0,88.754,2.198,3.324e+21,186800000000000.0,37.8
146,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.543,187.0,2.411,3.3,1.045e+20,12890000000000.0,5.6
147,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.915,279.0,2.351,3.3,6.833e+19,8428000000000.0,5.9
148,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.284,30.0,2.342,3.3,6.329e+20,78060000000000.0,4.3
149,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.726,30.0,2.432,3.3,6.573e+20,81070000000000.0,6.6
150,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.582,30.0,2.389,3.3,6.457e+20,79640000000000.0,5.8
151,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.315,3.3,6.257e+20,77170000000000.0,4.2
152,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.231,2.35,3.278e+21,200500000000000.0,38.7
153,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.698,279.0,1.588,3.3,4.615e+19,5692000000000.0,4.7
154,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.511,80.0,2.412,3.3,2.444e+20,30150000000000.0,5.2
155,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.763,30.0,2.398,3.3,6.481e+20,79930000000000.0,6.5
156,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.422,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.6
157,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.895,187.0,2.376,3.3,1.03e+20,12710000000000.0,6.4
158,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.657,279.0,1.575,3.3,4.577e+19,5644000000000.0,4.2
159,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polystyrene,0.6,500.0,128.34,4.2,1.145e+21,256700000000000.0,59.8
160,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.483,30.0,2.361,3.3,6.381e+20,78700000000000.0,4.9
161,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.729,30.0,2.417,3.3,6.532e+20,80560000000000.0,6.7
162,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.312,30.0,2.329,3.3,6.295e+20,77630000000000.0,4.3
163,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.557,463.0,2.411,3.3,4.222e+19,5207000000000.0,5.0
164,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.684,279.0,1.586,3.3,4.609e+19,5685000000000.0,4.6
165,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.403,30.0,2.344,3.3,6.334e+20,78120000000000.0,4.7
166,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,7.5,500.0,145.892,3.1,2.551e+21,291800000000000.0,33.5
167,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.876,30.0,2.435,3.3,6.581e+20,81170000000000.0,7.0
168,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.592,80.0,2.437,3.3,2.47e+20,30460000000000.0,5.6
169,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.331,30.0,2.318,3.3,6.265e+20,77270000000000.0,4.5
170,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.748,279.0,2.351,3.3,6.832e+19,8426000000000.0,5.2
171,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.615,30.0,2.392,3.3,6.465e+20,79740000000000.0,6.0
172,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.502,30.0,2.371,3.3,6.408e+20,79030000000000.0,5.3
173,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.937,187.0,2.387,3.3,1.035e+20,12770000000000.0,6.6
174,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,4.5,1200.0,220.0,50.0,5.215e+18,183300000000000.0,18.5
175,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,30.0,2.351,3.3,6.354e+20,78360000000000.0,5.8
176,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.271,30.0,2.328,3.3,6.293e+20,77610000000000.0,4.2
177,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.782,279.0,1.589,3.3,4.618e+19,5696000000000.0,4.6
178,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.456,80.0,2.402,3.3,2.434e+20,30020000000000.0,5.2
179,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.687,30.0,2.411,3.3,6.516e+20,80370000000000.0,6.5
180,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,463.0,2.388,3.3,4.182e+19,5158000000000.0,4.9
181,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.923,187.0,2.372,3.3,1.029e+20,12690000000000.0,6.4
182,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.314,30.0,2.342,3.3,6.329e+20,78060000000000.0,4.3
183,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,30.0,2.435,3.3,6.581e+20,81170000000000.0,6.7
184,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,98.723,2.412,3.352e+21,207800000000000.0,38.9
185,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.602,279.0,1.572,3.3,4.568e+19,5634000000000.0,4.1
186,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.483,30.0,2.368,3.3,6.4e+20,78930000000000.0,4.7
187,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.715,30.0,2.421,3.3,6.543e+20,80700000000000.0,6.3
188,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.389,30.0,2.345,3.3,6.337e+20,78160000000000.0,4.6
189,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.851,187.0,2.397,3.3,1.039e+20,12820000000000.0,6.6
